Sensor Zero, Sensor One, Sensor Two, Iterations
33, 30, 27, 1
32, 29, 25, 2
32, 29, 25, 3
32, 28, 25, 4
32, 28, 25, 5
32, 28, 25, 6
32, 28, 25, 7
32, 28, 25, 8
31, 27, 24, 9
31, 27, 24, 10
31, 27, 24, 11
30, 27, 23, 12
31, 27, 23, 13
31, 27, 23, 14
31, 27, 24, 15
32, 28, 24, 16
31, 27, 24, 17
31, 27, 24, 18
31, 27, 24, 19
31, 27, 24, 20
31, 27, 24, 21
31, 27, 24, 22
31, 27, 24, 23
31, 28, 24, 24
31, 27, 24, 25
31, 27, 24, 26
31, 27, 24, 27
31, 26, 23, 28
30, 26, 23, 29
30, 26, 23, 30
30, 26, 23, 31
30, 26, 23, 32
30, 26, 23, 33
30, 26, 22, 34
30, 26, 23, 35
31, 27, 24, 36
32, 28, 25, 37
32, 28, 25, 38
32, 28, 25, 39
32, 28, 25, 40
31, 27, 24, 41
31, 27, 24, 42
31, 27, 24, 43
31, 27, 24, 44
31, 27, 24, 45
32, 27, 24, 46
32, 27, 24, 47
32, 27, 24, 48
32, 27, 24, 49
31, 28, 24, 50
31, 27, 24, 51
32, 27, 24, 52
31, 27, 24, 53
32, 27, 24, 54
31, 27, 24, 55
31, 27, 24, 56
31, 27, 24, 57
31, 27, 24, 58
31, 27, 24, 59
31, 27, 24, 60
31, 27, 24, 61
31, 27, 24, 62
31, 26, 23, 63
30, 26, 23, 64
30, 26, 23, 65
30, 26, 23, 66
30, 26, 23, 67
30, 26, 23, 68
30, 26, 23, 69
32, 28, 25, 70
32, 28, 25, 71
32, 28, 25, 72
32, 28, 25, 73
32, 28, 25, 74
32, 28, 25, 75
32, 28, 24, 76
32, 27, 24, 77
32, 28, 25, 78
32, 28, 25, 79
32, 28, 25, 80
32, 27, 25, 81
32, 28, 24, 82
32, 27, 25, 83
32, 27, 24, 84
31, 27, 25, 85
31, 27, 24, 86
31, 27, 24, 87
31, 27, 24, 88
31, 27, 24, 89
31, 27, 24, 90
31, 27, 24, 91
31, 27, 24, 92
31, 27, 24, 93
31, 27, 24, 94
31, 27, 24, 95
30, 27, 23, 96
31, 27, 23, 97
30, 26, 23, 98
31, 26, 23, 99
30, 26, 24, 100
31, 27, 24, 101
32, 28, 25, 102
32, 28, 25, 103
32, 28, 25, 104
32, 28, 25, 105
32, 28, 25, 106
32, 28, 25, 107
32, 28, 25, 108
32, 28, 25, 109
32, 27, 25, 110
32, 28, 25, 111
32, 28, 25, 112
32, 28, 25, 113
32, 27, 25, 114
32, 28, 25, 115
32, 27, 24, 116
31, 27, 25, 117
31, 27, 24, 118
31, 27, 24, 119
31, 27, 24, 120
32, 27, 24, 121
31, 27, 24, 122
31, 27, 24, 123
31, 27, 24, 124
31, 27, 24, 125
31, 27, 24, 126
31, 27, 24, 127
31, 27, 24, 128
31, 26, 24, 129
31, 26, 24, 130
31, 26, 23, 131
31, 27, 24, 132
31, 27, 24, 133
31, 27, 24, 134
32, 28, 25, 135
33, 28, 25, 136
33, 28, 25, 137
33, 28, 26, 138
33, 28, 25, 139
32, 28, 25, 140
33, 28, 25, 141
32, 28, 25, 142
32, 28, 25, 143
32, 28, 25, 144
