
Sensor 1, Sensor 2, Sensor 3, Iterations
37, 35, 33, 1
34, 32, 30, 2
33, 30, 28, 3
32, 29, 27, 4
32, 29, 26, 5
31, 28, 25, 6
31, 28, 25, 7
31, 28, 25, 8
32, 28, 26, 9
32, 28, 26, 10
32, 28, 25, 11
32, 28, 26, 12
32, 29, 26, 13
31, 28, 26, 14
31, 28, 26, 15
31, 27, 26, 16
31, 28, 25, 17
32, 28, 26, 18
32, 28, 26, 19
32, 28, 26, 20
32, 29, 26, 21
32, 28, 26, 22
32, 29, 26, 23
32, 28, 26, 24
32, 28, 26, 25
32, 29, 26, 26
32, 28, 26, 27
32, 28, 26, 28
32, 29, 26, 29
32, 28, 26, 30
32, 28, 26, 31
32, 28, 26, 32
32, 28, 26, 33
31, 28, 25, 34
31, 27, 25, 35
31, 27, 25, 36
31, 26, 24, 37
30, 27, 24, 38
30, 26, 24, 39
30, 26, 24, 40
30, 26, 23, 41
29, 26, 24, 42
29, 26, 24, 43
30, 26, 24, 44
31, 27, 24, 45
31, 27, 25, 46
31, 27, 25, 47
31, 27, 25, 48
32, 27, 25, 49
31, 27, 25, 50
31, 27, 25, 51
32, 28, 26, 52
31, 28, 25, 53
32, 28, 26, 54
32, 28, 26, 55
32, 28, 26, 56
32, 28, 26, 57
32, 28, 26, 58
32, 28, 26, 59
32, 28, 26, 60
32, 28, 26, 61
32, 28, 26, 62
32, 28, 26, 63
32, 28, 26, 64
32, 28, 26, 65
32, 28, 26, 66
32, 28, 26, 67
32, 28, 26, 68
32, 28, 25, 69
31, 27, 25, 70
31, 27, 25, 71
30, 27, 24, 72
30, 26, 24, 73
30, 26, 24, 74
30, 26, 24, 75
30, 26, 24, 76
30, 26, 24, 77
30, 26, 23, 78
30, 26, 23, 79
31, 27, 25, 80
31, 27, 25, 81
32, 27, 25, 82
32, 28, 25, 83
31, 27, 25, 84
31, 28, 26, 85
32, 28, 26, 86
32, 28, 26, 87
32, 28, 26, 88
32, 28, 26, 89
32, 28, 26, 90
32, 28, 26, 91
32, 28, 26, 92
32, 27, 25, 93
32, 28, 26, 94
32, 28, 26, 95
32, 28, 26, 96
32, 29, 26, 97
32, 28, 26, 98
33, 29, 26, 99
32, 29, 26, 100
32, 28, 26, 101
32, 28, 26, 102
32, 28, 26, 103
32, 28, 26, 104
31, 27, 25, 105
31, 27, 25, 106
30, 27, 25, 107
30, 27, 24, 108
30, 26, 24, 109
30, 26, 24, 110
30, 26, 24, 111
30, 26, 24, 112
30, 26, 24, 113
31, 27, 25, 114
31, 27, 25, 115
31, 27, 25, 116
32, 28, 25, 117
31, 28, 25, 118
32, 28, 26, 119
32, 28, 26, 120
32, 28, 26, 121
32, 28, 26, 122
33, 28, 26, 123
32, 28, 26, 124
33, 29, 26, 125
32, 28, 26, 126
32, 28, 26, 127
33, 28, 27, 128
33, 29, 26, 129
32, 28, 27, 130
32, 28, 26, 131
32, 29, 27, 132
32, 28, 27, 133
32, 29, 26, 134
32, 28, 26, 135
32, 28, 26, 136
32, 28, 26, 137
32, 28, 26, 138
31, 27, 25, 139
31, 27, 25, 140
31, 27, 25, 141
31, 26, 25, 142
30, 26, 24, 143
30, 26, 24, 144
