Sensor 4, Sensor 5, Sensor 6, Iterations
42, 49, 51, 1
35, 41, 45, 2
34, 39, 42, 3
34, 39, 42, 4
34, 40, 43, 5
34, 40, 42, 6
34, 40, 42, 7
34, 40, 43, 8
34, 40, 42, 9
34, 39, 43, 10
34, 39, 43, 11
35, 40, 43, 12
35, 40, 43, 13
34, 40, 43, 14
35, 40, 43, 15
34, 40, 43, 16
35, 40, 43, 17
35, 40, 43, 18
35, 41, 43, 19
34, 39, 42, 20
34, 39, 42, 21
33, 38, 41, 22
32, 38, 40, 23
32, 37, 40, 24
32, 36, 39, 25
31, 36, 39, 26
31, 36, 38, 27
31, 36, 38, 28
31, 35, 38, 29
31, 36, 38, 30
31, 35, 38, 31
30, 35, 38, 32
30, 35, 37, 33
30, 35, 37, 34
30, 35, 37, 35
30, 35, 37, 36
30, 35, 37, 37
30, 35, 37, 38
30, 35, 37, 39
30, 35, 37, 40
30, 35, 37, 41
30, 34, 37, 42
30, 34, 37, 43
30, 34, 37, 44
30, 34, 37, 45
30, 34, 36, 46
30, 34, 36, 47
29, 34, 36, 48
29, 34, 36, 49
29, 34, 36, 50
29, 34, 36, 51
29, 34, 36, 52
29, 34, 36, 53
30, 34, 36, 54
31, 35, 38, 55
