We're gonna take data!
Sensor 4, Sensor 5, Sensor 6, Iterations
31, 36, 40, 1
29, 34, 38, 2
29, 33, 37, 3
28, 32, 36, 4
28, 32, 35, 5
28, 32, 35, 6
29, 33, 37, 7
29, 33, 37, 8
30, 34, 37, 9
30, 34, 37, 10
30, 34, 37, 11
30, 34, 38, 12
30, 35, 38, 13
30, 34, 37, 14
30, 34, 38, 15
30, 34, 37, 16
30, 34, 37, 17
30, 34, 37, 18
30, 34, 37, 19
29, 34, 37, 20
30, 33, 37, 21
30, 34, 37, 22
29, 33, 37, 23
29, 33, 36, 24
29, 33, 36, 25
29, 32, 36, 26
29, 32, 36, 27
28, 33, 35, 28
29, 32, 35, 29
29, 32, 35, 30
29, 32, 35, 31
29, 32, 35, 32
29, 32, 35, 33
29, 32, 35, 34
29, 32, 35, 35
29, 32, 35, 36
29, 32, 35, 37
29, 33, 35, 38
29, 33, 36, 39
30, 34, 37, 40
30, 34, 37, 41
30, 34, 37, 42
30, 34, 37, 43
30, 34, 37, 44
30, 34, 37, 45
30, 34, 37, 46
30, 34, 37, 47
30, 34, 37, 48
30, 34, 37, 49
30, 34, 37, 50
30, 34, 37, 51
30, 34, 37, 52
30, 34, 37, 53
30, 34, 37, 54
29, 33, 36, 55
29, 33, 36, 56
30, 33, 36, 57
29, 33, 36, 58
29, 33, 36, 59
29, 33, 35, 60
29, 33, 36, 61
29, 33, 35, 62
29, 33, 35, 63
29, 33, 35, 64
29, 32, 36, 65
29, 32, 35, 66
29, 32, 35, 67
29, 32, 35, 68
28, 32, 35, 69
29, 32, 35, 70
29, 32, 35, 71
30, 33, 36, 72
30, 34, 37, 73
30, 34, 37, 74
30, 34, 37, 75
30, 34, 37, 76
30, 34, 37, 77
30, 34, 37, 78
30, 34, 37, 79
30, 34, 37, 80
30, 35, 37, 81
30, 34, 37, 82
31, 34, 37, 83
30, 34, 37, 84
30, 34, 37, 85
29, 33, 36, 86
29, 33, 36, 87
29, 33, 35, 88
28, 32, 35, 89
28, 32, 34, 90
28, 31, 34, 91
28, 32, 34, 92
29, 32, 35, 93
29, 33, 35, 94
29, 33, 36, 95
29, 33, 36, 96
30, 34, 37, 97
30, 33, 36, 98
30, 34, 36, 99
30, 33, 36, 100
29, 33, 36, 101
29, 33, 35, 102
29, 33, 36, 103
30, 34, 37, 104
30, 34, 37, 105
30, 34, 37, 106
30, 34, 37, 107
30, 34, 37, 108
30, 34, 37, 109
30, 34, 37, 110
30, 34, 37, 111
30, 34, 37, 112
30, 34, 37, 113
30, 34, 37, 114
30, 34, 37, 115
30, 34, 36, 116
30, 34, 37, 117
30, 34, 37, 118
30, 34, 37, 119
30, 34, 36, 120
30, 33, 36, 121
29, 34, 36, 122
29, 33, 36, 123
29, 33, 36, 124
29, 33, 36, 125
29, 32, 36, 126
29, 33, 35, 127
29, 33, 35, 128
29, 32, 35, 129
29, 32, 35, 130
29, 32, 35, 131
29, 32, 35, 132
28, 32, 35, 133
29, 33, 35, 134
29, 33, 36, 135
30, 34, 37, 136
30, 34, 37, 137
30, 34, 37, 138
30, 34, 37, 139
30, 34, 37, 140
30, 34, 37, 141
30, 34, 37, 142
30, 34, 37, 143
30, 34, 37, 144
